date;status;commentary
-;3;
2020-12-01;3;
2021-01-01;4;
2021-01-06;5;
2021-01-07;5;
2021-01-08;5;
2021-01-10;4;
2021-01-11;3;
2021-01-12;3;Оказалось, что можно участвовать только в одной дисциплине
2021-01-13;3;Добавил комментирование в бота
2021-01-14;3;
2021-01-15;3;
2021-01-16;3;
2021-01-17;3;Терапевт
2021-01-22;4;Й
2021-01-27;3;
